   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
  151     119.862373      -1.658050      10.664200     1.084   336.982    69.364   -42.505    84.883    50.780  -152.940   -155.00     10.00    0
  152     119.860809      -1.612860      10.664200     1.169   352.372    79.229   -26.576    87.712    63.928  -167.992   -150.00     10.00    0
  153     119.859238      -1.567660      10.664200     1.391    92.595    70.320   179.350   182.814    89.388    19.681   -145.00     10.00    0
  154     119.857681      -1.522470      10.664200     1.625    95.491    71.163   173.279   187.670    83.640    18.958   -140.00     10.00    0
  155     119.856110      -1.477280      10.664200     1.753    97.824    75.512   172.358   189.747    82.602    14.612   -135.00     10.00    0
  156     119.854538      -1.432090      10.664200     1.759    99.494    82.556   177.729   189.788    87.748     7.449   -130.00     10.00    0
  157     119.852982      -1.386900      10.664200     1.627    98.572    88.812  -173.544     8.438    83.546    -1.195   -125.00     10.00    0
  158     119.851410      -1.341710      10.664200     1.362    91.910    88.386  -172.050     1.685    82.053    -1.629   -120.00     10.00    0
  159     119.849838      -1.296520      10.664200     1.236   349.487    81.929     5.872   258.660    84.186   171.887   -115.00     10.00    0
  160     119.848282      -1.251330      10.664200     1.484   339.492    86.556    13.520   248.665    76.505   176.458   -110.00     10.00    0
  161     119.846710      -1.206140      10.664200     2.024   153.261    85.327   -14.301   244.451    75.747  -175.178   -105.00     10.00    0
  162     119.845207      -1.160950      10.664200     2.390   152.378    80.068   -11.080   244.312    79.088  -169.883   -100.00     10.00    0
  163     119.843643      -1.115760      10.664200     2.452   155.735    82.592    -7.235   246.673    82.826  -172.533    -95.00     10.00    0
  164     119.842072      -1.070570      10.664200     2.415   340.536    87.532    -5.679    70.781    84.326  -177.520    -90.00     10.00    0
  165     119.840500      -1.025380      10.664200     2.513   345.881    81.725   -15.786    78.211    74.382  -171.406    -85.00     10.00    0
  166     119.838928      -0.980190      10.664200     2.805   350.546    79.051   -24.058    85.393    66.407  -168.038    -80.00     10.00    0
  167     119.837357      -0.934990      10.664200     3.079   353.618    76.538   -24.712    89.733    66.011  -165.238    -75.00     10.00    0
  168     119.835793      -0.889800      10.664200     3.325   353.145    73.550   -23.620    90.204    67.402  -162.138    -70.00     10.00    0
  169     119.834221      -0.844610      10.664200     3.504   350.386    71.258   -22.984    88.146    68.299  -159.768    -65.00     10.00    0
  170     119.832657      -0.799420      10.664200     3.452   347.647    67.302   -19.202    85.301    72.337  -156.111    -60.00     10.00    0
  171     119.831093      -0.754230      10.664200     3.537   343.959    62.556   -16.449    81.708    75.446  -151.565    -55.00     10.00    0
  172     119.829521      -0.709040      10.664200     3.552   341.633    62.201   -13.462    78.002    78.116  -151.538    -50.00     10.00    0
  173     119.827950      -0.663850      10.664200     3.380   341.463    67.411    -6.045    73.792    84.420  -157.298    -45.00     10.00    0
  174     119.826378      -0.618660      10.664200     3.275   340.757    70.844    -3.264    71.829    86.917  -160.815    -40.00     10.00    0
  175     119.824806      -0.573470      10.664200     3.079   341.476    75.423    -2.037    71.989    88.029  -165.414    -35.00     10.00    0
  176     119.823242      -0.528280      10.664200     2.883   343.690    76.582    -2.753    74.330    87.322  -166.567    -30.00     10.00    0
  177     119.821671      -0.483090      10.664200     2.835   347.499    71.866    -4.771    78.987    85.466  -161.807    -25.00     10.00    0
  178     119.820099      -0.437900      10.664200     3.019   352.730    68.671    -2.069    83.483    88.073  -158.658    -20.00     10.00    0
  179     119.818527      -0.392700      10.664200     3.385   356.679    67.974    -0.212    86.759    89.803  -157.974    -15.00     10.00    0
  180     119.816963      -0.347510      10.664200     3.868   358.880    63.757    -1.324    89.466    88.812  -153.751    -10.00     10.00    0
  181     119.815399      -0.302320      10.664200     4.170   359.662    62.549    -2.908    91.003    87.419  -152.518     -5.00     10.00    0
  182     119.813828      -0.257130      10.664200     4.266    92.393    83.374  -148.961   358.421    59.191    -7.721      0.00     10.00    0
  183     119.812263      -0.211940      10.664200     3.874    92.904    79.900  -149.201   356.936    59.729   -11.715      5.00     10.00    0
  184     119.810692      -0.166750      10.664200     3.275   353.442    59.056   -17.683    92.752    74.899  -147.820     10.00     10.00    0
  185     119.809128      -0.121560      10.664200     2.323   350.282    58.050   -18.940    90.574    74.013  -146.601     15.00     10.00    0
  186     119.807564      -0.076370      10.664200     1.337   358.396    84.957   -42.224    92.957    47.977  -173.205     20.00     10.00    0
  187     119.806000      -0.031180      10.664200     1.028   341.892    32.144    23.680   231.521    77.661   119.919     25.00     10.00    0
  188     119.804428       0.014020      10.664200     0.959   218.117    65.945   127.910   335.745    43.908    35.998     30.00     10.00    0
