   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
  196     1.199     119.877167      -1.715050       7.332100      5.00      5.00   358.015    88.145   -38.686   -170.00      5.00    0
  197     1.307     119.875603      -1.669860       7.332100      5.00      5.00   182.479    88.133    35.798   -165.00      5.00    0
  198     1.373     119.874031      -1.624670       7.332100      5.00      5.00   184.400    86.734    32.577   -160.00      5.00    0
  199     1.367     119.872467      -1.579480       7.332100      5.00      5.00   185.108    87.134    28.486   -155.00      5.00    0
  200     1.332     119.870903      -1.534290       7.332100      5.00      5.00   185.343    86.732    23.024   -150.00      5.00    0
  201     1.295     119.869331      -1.489100       7.332100      5.00      5.00   183.701    89.542    13.012   -145.00      5.00    0
  202     1.323     119.867767      -1.443910       7.332100      5.00      5.00     1.864    85.802     3.445   -140.00      5.00    0
  203     1.483     119.866203      -1.398720       7.332100      5.00      5.00     0.791    82.240    18.469   -135.00      5.00    0
  204     1.675     119.864632      -1.353530       7.332100      5.00      5.00   357.902    81.930    25.510   -130.00      5.00    0
  205     1.857     119.863068      -1.308340       7.332100      5.00      5.00   355.463    82.225    28.033   -125.00      5.00    0
  206     2.012     119.861504      -1.263150       7.332100      5.00      5.00   353.506    81.662    26.428   -120.00      5.00    0
  207     2.188     119.859932      -1.217960       7.332100      5.00      5.00   352.520    80.331    22.455   -115.00      5.00    0
  208     2.343     119.858368      -1.172760       7.332100      5.00      5.00   353.356    76.273    17.109   -110.00      5.00    0
  209     2.505     119.856796      -1.127570       7.332100      5.00      5.00   352.823    74.831     8.697   -105.00      5.00    0
  210     2.706     119.855232      -1.082380       7.332100      5.00      5.00   352.036    77.957    -1.354   -100.00      5.00    0
  211     2.877     119.853668      -1.037190       7.332100      5.00      5.00   351.900    80.012    -9.949    -95.00      5.00    0
  212     3.057     119.852097      -0.992000       7.332100      5.00      5.00   351.539    79.141   -16.409    -90.00      5.00    0
  213     3.227     119.850533      -0.946810       7.332100      5.00      5.00   349.794    75.830   -21.188    -85.00      5.00    0
  214     3.331     119.848969      -0.901620       7.332100      5.00      5.00   348.388    72.908   -23.632    -80.00      5.00    0
  215     3.331     119.847397      -0.856430       7.332100      5.00      5.00   347.246    70.093   -22.623    -75.00      5.00    0
  216     3.297     119.845840      -0.811240       7.332100      5.00      5.00   346.076    68.381   -21.289    -70.00      5.00    0
  217     3.207     119.844269      -0.766050       7.332100      5.00      5.00   345.011    66.870   -18.728    -65.00      5.00    0
  218     3.078     119.842697      -0.720860       7.332100      5.00      5.00   344.364    66.413   -15.610    -60.00      5.00    0
  219     3.004     119.841141      -0.675670       7.332100      5.00      5.00   344.343    66.927   -10.173    -55.00      5.00    0
  220     3.004     119.839607      -0.630470       7.332100      5.00      5.00   344.389    69.881    -4.038    -50.00      5.00    0
  221     3.060     119.838043      -0.585280       7.332100      5.00      5.00   344.343    74.015     2.001    -45.00      5.00    0
  222     3.127     119.836472      -0.540090       7.332100      5.00      5.00   344.679    77.382     7.845    -40.00      5.00    0
  223     3.134     119.834900      -0.494900       7.332100      5.00      5.00   346.181    76.875     9.900    -35.00      5.00    0
  224     3.144     119.833328      -0.449710       7.332100      5.00      5.00   349.436    71.335     7.424    -30.00      5.00    0
  225     3.227     119.831757      -0.404520       7.332100      5.00      5.00   352.735    64.324     2.590    -25.00      5.00    0
  226     3.404     119.830193      -0.359330       7.332100      5.00      5.00   355.918    59.824     0.363    -20.00      5.00    0
  227     3.644     119.828621      -0.314140       7.332100      5.00      5.00   357.281    57.322    -2.293    -15.00      5.00    0
  228     3.812     119.827049      -0.268950       7.332100      5.00      5.00   356.835    56.023    -5.462    -10.00      5.00    0
  229     3.880     119.825478      -0.223760       7.332100      5.00      5.00   356.089    55.347    -8.015     -5.00      5.00    0
  230     3.791     119.823914      -0.178570       7.332100      5.00      5.00   355.185    54.793   -10.336      0.00      5.00    0
  231     3.520     119.822350      -0.133370       7.332100      5.00      5.00   354.160    54.008   -12.249      5.00      5.00    0
  232     3.049     119.820778      -0.088180       7.332100      5.00      5.00   353.206    53.089   -13.372     10.00      5.00    0
  233     2.405     119.819221      -0.042990       7.332100      5.00      5.00   351.912    51.881   -13.997     15.00      5.00    0
  234     1.811     119.817650       0.002200       7.332100      5.00      5.00   344.416    45.238   -24.002     20.00      5.00    0
  235     1.449     119.816078       0.047390       7.332100      5.00      5.00   112.557    60.764   -94.151     25.00      5.00    1
  236     1.375     119.814522       0.092580       7.332100      5.00      5.00   127.324    61.199   -62.566     30.00      5.00    1
  237     1.421     119.812950       0.137770       7.332100      5.00      5.00   125.832    58.419   -51.959     35.00      5.00    1
  238     1.284     119.811394       0.182960       7.332100      5.00      5.00   123.756    55.946   -47.236     40.00      5.00    1
  239     0.953     119.809822       0.228150       7.332100      5.00      5.00   121.675    54.886   -46.478     45.00      5.00    1
  240     0.497     119.808250       0.273340       7.332100      5.00      5.00   119.722    53.503   -48.050     50.00      5.00    1
  241     0.410     119.865784      -1.851190       2.664200      5.00      5.00   345.032    67.004   -31.872   -185.00     10.00    0
  242     0.795     119.864212      -1.806000       2.664200      5.00      5.00   348.329    74.195   -36.889   -180.00     10.00    0
  243     1.109     119.862640      -1.760810       2.664200      5.00      5.00   352.480    80.960   -41.268   -175.00     10.00    0
  244     1.316     119.861069      -1.715620       2.664200      5.00      5.00   356.276    85.374   -42.208   -170.00     10.00    0
  245     1.423     119.859512      -1.670430       2.664200      5.00      5.00     0.458    89.263   -40.023   -165.00     10.00    0
  246     1.464     119.857941      -1.625240       2.664200      5.00      5.00   183.360    88.097    35.768   -160.00     10.00    0
  247     1.447     119.856369      -1.580050       2.664200      5.00      5.00   184.948    87.267    31.136   -155.00     10.00    0
  248     1.406     119.854813      -1.534860       2.664200      5.00      5.00   185.240    87.239    24.859   -150.00     10.00    0
  249     1.364     119.853241      -1.489670       2.664200      5.00      5.00   183.715    89.917    14.514   -145.00     10.00    0
  250     1.383     119.851669      -1.444470       2.664200      5.00      5.00     1.724    84.785     1.214   -140.00     10.00    0
  251     1.528     119.850113      -1.399280       2.664200      5.00      5.00     0.219    81.884    16.041   -135.00     10.00    0
  252     1.729     119.848541      -1.354090       2.664200      5.00      5.00   357.098    82.642    23.925   -130.00     10.00    0
