   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
  234     6.103     119.823647      -0.075800       7.332100      5.00      5.00   358.000    69.000   -49.304     20.00      5.00    0
  235     4.924     119.822083      -0.030610       7.332100      5.00      5.00   358.000    69.000   -58.932     25.00      5.00    0
  236     3.580     119.820518       0.014580       7.332100      5.00      5.00   358.000    69.000   -64.960     30.00      5.00    0
  237     1.753     119.818947       0.059770       7.332100      5.00      5.00   358.000    69.000   -54.686     35.00      5.00    0
  238     0.802     119.817390       0.104960       7.332100      5.00      5.00   358.000    69.000    24.076     40.00      5.00    0
  239     0.703     119.815819       0.150150       7.332100      5.00      5.00   358.000    69.000    35.972     45.00      5.00    0
  240     0.330     119.814247       0.195340       7.332100      5.00      5.00   358.000    69.000    96.895     50.00      5.00    0
  241     0.048     119.871780      -1.929190       2.664200      5.00      5.00   358.000    69.000   122.462   -185.00     10.00    0
  242     0.190     119.870209      -1.884000       2.664200      5.00      5.00   358.000    69.000  -153.583   -180.00     10.00    0
  243     0.486     119.868637      -1.838810       2.664200      5.00      5.00   358.000    69.000  -124.318   -175.00     10.00    0
  244     0.308     119.867081      -1.793620       2.664200      5.00      5.00   358.000    69.000  -105.006   -170.00     10.00    0
  245     0.523     119.865509      -1.748430       2.664200      5.00      5.00   358.000    69.000    32.282   -165.00     10.00    0
  246     1.506     119.863937      -1.703240       2.664200      5.00      5.00   358.000    69.000    36.266   -160.00     10.00    0
  247     2.195     119.862373      -1.658050       2.664200      5.00      5.00   358.000    69.000    29.351   -155.00     10.00    0
  248     2.352     119.860809      -1.612860       2.664200      5.00      5.00   358.000    69.000    19.970   -150.00     10.00    0
  249     2.229     119.859238      -1.567660       2.664200      5.00      5.00   358.000    69.000     9.553   -145.00     10.00    0
  250     2.047     119.857681      -1.522470       2.664200      5.00      5.00   358.000    69.000    -6.571   -140.00     10.00    0
  251     2.105     119.856110      -1.477280       2.664200      5.00      5.00   358.000    69.000   -20.987   -135.00     10.00    0
